max_prob,entropy,loss,correct,is_member
0.8122887440474891,0.4828871911785519,1.6728503694012502,0,1
0.9547084107601564,0.18441096895522174,0.0463493141697198,1,0
0.9999999999986753,3.755654838494377e-11,3.24740234702911e-13,1,1
0.9638652212524271,0.15545942267386975,3.3204994771779934,0,0
0.9999299501880341,0.0007401651526904721,9.566303955193389,0,0
0.9862254220902176,0.07270237971234875,4.284930566098111,0,0
0.9999983997399193,2.295628069301802e-05,1.6002603611077636e-06,1,1
0.999983151029232,0.0002020395899054061,1.6849111713542934e-05,1,0
0.8811145800904246,0.3646983704276017,0.1265676046451547,1,0
0.9999999434667549,9.99984740420488e-07,5.6532246705324294e-08,1,1
0.9999999975040025,5.193815697933571e-08,2.494997545014473e-09,1,1
0.9999940724095513,7.727141584648291e-05,5.927607016956493e-06,1,1
0.5540566602748227,0.6872914968876667,0.8075633760051576,0,0
1.0,2.7631021115928546e-11,-1.000088900581841e-12,1,0
0.9953297969683795,0.029722171457668,0.004681142501783611,1,1
0.9998787438755271,0.0012146886698269723,0.00012126347559098467,1,1
0.9999999999935765,1.719649552384387e-10,5.42355049761106e-12,1,0
0.8942026608577106,0.337637428181113,0.11182283950036051,1,1
1.0,2.7631021115928546e-11,-1.000088900581841e-12,1,1
0.9999999999999464,2.768464488801794e-11,-9.463541061900357e-13,1,1
0.9976939417702012,0.016306280002642917,0.0023087212759584,1,0
0.9999748336945515,0.0002916772778173204,10.59000450378553,0,0
0.5422004728322893,0.6895811799389062,0.6121194698536044,1,0
0.9980536001204487,0.014093492240868616,0.0019482965763494107,1,1
0.9999630251317904,0.0004143127760777265,3.697555079691337e-05,1,1
1.0,2.7631021115928546e-11,-1.000088900581841e-12,1,0
0.8979139720696542,0.32964241802060235,0.10768101474488657,1,1
0.5514000754525639,0.6878538988238962,0.5952946435524721,1,0
0.9999999999995737,2.8057346757384516e-11,-5.737632591261163e-13,1,1
0.9994216741706144,0.0048897934152304185,0.000578493123271207,1,1
0.9999999998329402,3.928022858087682e-09,1.6605983256525633e-10,1,1
0.9154974831315339,0.289630652930512,0.08828766404389692,1,1
0.9999650726624971,0.0003933594729036684,3.492794647651983e-05,1,1
0.9999999278980648,1.2578315924011562e-06,7.210093782152491e-08,1,1
0.6361175545075667,0.6556193543609966,0.45237189858877225,1,1
0.8492343290627313,0.42403492560742245,0.16342012478908088,1,0
0.6854651336711747,0.6226811547534755,0.37765764389596324,1,0
0.7718982861626669,0.5369724277307641,0.25890249131164533,1,0
0.9999999999984807,4.2863529486450814e-11,5.193623309197831e-13,1,0
0.9996343691171786,0.0032591252479613224,0.00036569774108997563,1,0
0.9999813158568044,0.00022211384343922733,1.8684316746394205e-05,1,1
0.9999999999905875,2.483860662490395e-10,8.412492924527583e-12,1,0
0.7165191788412208,0.5962108450190773,0.33335026467198237,1,1
0.9999999918298691,1.6032068946554578e-07,8.16913096063869e-09,1,1
0.7799787764077487,0.526934822105971,1.5140312664043765,0,0
0.9995952276256069,0.003566847392887194,0.0004048543158429957,1,1
0.8156256797718907,0.4779620615403265,1.690787238787816,0,0
0.9999999999962194,1.0321513701838574e-10,2.780664587480033e-12,1,1
0.9999999999998388,2.7792225499104106e-11,-8.388845174064164e-13,1,1
1.0,2.7631021115928546e-11,-1.000088900581841e-12,1,1
0.9999999951176444,9.831911088585638e-08,4.881355664932987e-09,1,0
0.9999999913699315,1.688732963667802e-07,8.629068608028338e-09,1,0
0.9999999999952273,1.2918845671948837e-10,25.877878059922836,0,0
0.8817791669352945,0.363365073087776,0.12581363194830475,1,1
0.6762003569819692,0.6297004163557958,0.3912658607833663,1,0
0.9721763573930906,0.12709357184722309,0.02821805333127605,1,1
0.6677176582436488,0.6357831898249074,0.4038898620929213,1,1
0.9999999991765904,1.80471345833324e-08,8.224095852156269e-10,1,1
0.973057272845381,0.12394861194194823,0.027312336404717343,1,1
0.9999999998877371,2.6842243323284726e-09,1.1126288779814164e-10,1,0
0.999989040565821,0.00013613046825202929,1.0959493233996328e-05,1,0
0.9999999999570867,1.067334866008009e-09,4.19133616711322e-11,1,0
0.999999999972494,6.963588046299962e-10,2.6506019601764583e-11,1,1
1.0,2.7631021115928546e-11,-1.000088900581841e-12,1,0
0.9999997338270202,4.29579747612155e-06,2.6617201521405387e-07,1,1
0.9988600884466223,0.00886421947066781,0.0011405617457068713,1,1
0.9987232266224362,0.009783634170950371,0.0012775891461339042,1,1
0.9671891313071613,0.14438119573644775,3.4169954558634745,0,0
1.0,2.7631021115928546e-11,-1.000088900581841e-12,1,1
1.0,2.7631021115928546e-11,-1.000088900581841e-12,1,0
0.9999999974596747,5.281583615407119e-08,2.5393253088079593e-09,1,1
0.9999742860509628,0.0002974708961032909,2.5714278646416428e-05,1,0
0.9995074021789286,0.004244011578852479,0.0004927191862356612,1,1
0.9843917922235124,0.08041525545385812,4.1599583635070045,0,0
0.9409001316749541,0.2244835615752755,0.06091827502261628,1,1
0.8255069422828301,0.4629394857389585,0.19175760586466953,1,1
0.9826661799145986,0.08747301426491987,0.017485809678050034,1,0
0.9999863528054161,0.0001665226556049317,1.3647286707670282e-05,1,1
0.9999999291606669,1.2370567468804276e-06,7.083833559733151e-08,1,0
0.9999999518450139,8.59510696512715e-07,4.8153987291296816e-08,1,1
0.7497195047561449,0.5626430903860125,0.28805613606199076,1,0
0.9999988466005937,1.6923594649611416e-05,1.1533990715038876e-06,1,1
0.8913413709887192,0.3437016551686688,0.11502779246388624,1,0
0.9999999999999476,2.7683423642690853e-11,-9.476863738195845e-13,1,1
1.0,2.7631021115928546e-11,27.631021115928547,0,0
0.9999999865748432,2.567713675510529e-07,1.3424156876283247e-08,1,0
0.9984750303805524,0.011414424926124371,0.0015261335680919381,1,1
0.8044951524078051,0.49410731493248655,1.6321701039910095,0,0
0.9868695811926647,0.06993562478674832,4.332823694120893,0,0
0.9999999998441715,3.67478811766191e-09,1.5482848337943884e-10,1,0
0.9999999974731826,5.2548466208133364e-08,2.5258174472777402e-09,1,0
0.772029827798994,0.5368120212894165,0.25873209265712804,1,0
0.9999999999999998,2.763124316053347e-11,-9.998668559769162e-13,1,0
0.9999999999963971,9.853661652523942e-11,2.602917881237067e-12,1,1
0.9231124545016643,0.27110107187699467,0.08000421603646264,1,1
0.9999999997200243,6.438410095909768e-09,2.7897573144369844e-10,1,1
0.5149328786956182,0.6927011325041013,0.7234680031761953,0,1
0.9999496331245433,0.000548805113016961,5.0368142910311104e-05,1,1
1.0,2.7631021115928546e-11,-1.000088900581841e-12,1,0
0.9999999999976104,6.633622385518005e-11,1.389666159924274e-12,1,0
0.9999999202852746,1.3826368833633004e-06,7.971372857541743e-08,1,1
0.9999999982811338,3.6408337152554765e-08,1.7178661841133381e-09,1,0
0.8985513698738711,0.32825433028895945,0.10697140146587561,1,0
0.8189952734814813,0.47291358666316774,0.19967696622938189,1,0
0.9995891752124947,0.003614082473412545,0.00041090919812765685,1,1
0.7208589723179188,0.592140219980339,0.3273117609418414,1,1
0.9965612521584937,0.02293963418963782,0.003444673923298172,1,1
0.9999954957046584,5.9954318842221657e-05,4.504304485987137e-06,1,0
0.803325986770529,0.4957569124666644,0.21899468630504446,1,0
0.9999631753353171,0.00041277960825681525,3.682534172750637e-05,1,1
0.9962264748145063,0.024821707213185364,5.579745651690614,0,0
0.999999999999944,2.7686976356369654e-11,-9.441336601407874e-13,1,1
0.9992088399197463,0.006441320420147132,0.000791473211558643,1,1
0.9999011341229679,0.0010105770356220332,9.887076358500517e-05,1,0
0.9999999998993072,2.418534719091323e-09,9.969280956809265e-11,1,0
0.8123736601834123,0.48276276955510744,0.20779487202651634,1,0
0.998429154746703,0.011711209943946999,0.0015720803232733757,1,1
0.9610202724342023,0.16468800103213496,0.03975977508845196,1,1
0.9942020286203249,0.03564211633990723,0.005814844867677031,1,0
0.7318182516566669,0.5814419673668223,0.31222308593506637,1,1
0.9999999999781961,5.570660999197444e-10,2.0803914147154897e-11,1,0
0.6703247161673644,0.6339484380892189,1.1096470973389139,0,0
0.9998304804935333,0.001641365466085399,0.0001695338755221238,1,1
1.0,2.7631021115928546e-11,-1.000088900581841e-12,1,0
0.9998138902530577,0.0017846214309278666,0.00018612706651017165,1,0
0.9999964836496261,4.7674977870043076e-05,3.516355556270838e-06,1,1
0.9999999999731608,6.801363372443354e-10,2.5839219653157263e-11,1,0
0.7633800782485428,0.5471523613971738,0.26999923509542684,1,1
0.9999999504321235,8.832957340417835e-07,4.956687772059518e-08,1,1
0.7924059530797278,0.5107514669279306,1.5721708038179751,0,0
0.973771539002677,0.12137691774287261,3.640910160163511,0,0
0.9901946755770552,0.05510505026027177,4.62482973227848,0,0
0.9999803426162887,0.00023268538865002002,1.9657575920248376e-05,1,1
0.9999999999540204,1.1404227900472317e-09,4.4979575620675176e-11,1,0
0.9999987112741694,1.876623985464015e-05,1.2887256610346988e-06,1,1
0.8228550981897992,0.4670364371455864,1.7307872270223965,0,0
0.9999999999999998,2.763124316053347e-11,-9.998668559769162e-13,1,0
0.996222478239269,0.02484398985310998,5.578687102952177,0,0
0.5179659217000918,0.692501492892054,0.6578458271086245,1,1
0.5212722415247582,0.6922418908248094,0.7366231970573427,0,0
0.9999422487130447,0.0006213655035374339,5.775295362503153e-05,1,0
0.9982801533813902,0.012666085169362936,0.0017213272516897469,1,0
0.9999999999999961,2.7634906896514734e-11,-9.960920976931943e-13,1,1
0.9999999997453333,5.880527207473283e-09,2.5366675430069565e-10,1,0
0.9999999999866851,3.4674857391833844e-10,1.2314926856125453e-11,1,1
0.9999999995699467,9.705061537251847e-09,4.2905334849730504e-10,1,0
0.999994099296678,7.694774435917881e-05,5.900719731193908e-06,1,0
0.9999824042783755,0.00021023097182523985,10.947854718155169,0,0
0.9999999999998828,2.7748260667328956e-11,-8.828493491815347e-13,1,0
0.9999999842153094,2.993444276172718e-07,1.578369070131633e-08,1,0
0.9351592852005552,0.2400842129475113,2.7358215581093446,0,0
0.9999999836204309,3.10019889690905e-07,1.6378569301714276e-08,1,0
0.7364529126454245,0.5767344575781431,0.3059099790725002,1,0
0.995579125028486,0.028378498048946075,0.00443067593482526,1,1
0.9999903030686864,0.0001216353607944196,9.6969773291401e-06,1,0
0.9413340324217198,0.2232809975079478,0.06045722637869322,1,0
0.9999999524851415,8.48721014389365e-07,4.751385964309763e-08,1,0
0.8485086189237412,0.4252873402574515,0.16427503652239153,1,1
0.9981796838111194,0.013302569176553019,0.0018219749767116164,1,1
0.9981483321436031,0.013500032788696308,0.0018533843115186373,1,1
0.7981453351750827,0.5029628104051767,0.2254645738341364,1,1
0.6519857026636429,0.6462087376634158,1.0555117157488494,0,0
0.9999992257141388,1.1669513326486054e-05,7.742851609855595e-07,1,1
0.9632603137011205,0.15744052997390848,0.037431588341787024,1,0
0.9999999999999999,2.763113213823101e-11,-9.998668559769162e-13,1,0
0.9991172382038137,0.007090354796149319,0.0008831516588345445,1,0
0.9997407133646863,0.002400332220344292,0.00025932025490481026,1,1
0.7104437893297213,0.6017538422984907,1.2394058361489773,0,0
