url,Number of Dots,Subdomain Level,Path Level,URL length,Number of dash symbol,Number of AtSymbol,Number of Tilde Symbol,Number of Underscores,Number of dollar symbol,Number of colon symbol,Number of Percent symbols,Query count,Numerical character count,presence of HTTPS,IP in hostname,suffix(tld) in subdomain,HTTPS in Hostname,Hostname length,query length,Double Slash in Path,Avg wordlength in Hostname,Atsymbols in Hostname,Numerical Characters in Hostname,Number of SensitiveWords in URL,url entropy,Number of SensitiveWords in HTML,Number of Hyperlinks,External Hyperlinks percent,External ResourceURLs percent,Ext Favicon,Insecure Forms,RelativeFormAction,external formaction,Percentage of NullSelfRedirectHyperlinks,Fake Link In StatusBar,popup window,Right Click Disabled,Title is missing,Iframe Or Frame present,src_eval_cnt,src_escape_cnt,src_exec_cnt,src_search_cnt,Most Common Link Domain in External,Common Resource Domain in External,Ratio of Common Domain in Webpage,Ratio of Common Domain in Footer,Ratio of Null Links,Ratio of Null Links in Footer,Ratio of Null links present in body-tag,label
https://owa.healthaccel.com/,2,1,1,28,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,5.666666667,0,0,0,3.672553582,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://jkdolsolo.blob.core.windows.net/koldol/inddeexx.html,5,3,2,60,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,5.4,0,0,0,4.10291008,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://steemcomninity.ru/792937824982423,1,0,1,41,0,0,0,0,0,1,0,0,15,0,0,0,0,17,0,0,8,0,0,0,4.29633798,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://bt-internet.uk/wp-admin/BT/,1,0,3,35,2,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,6.5,0,0,0,4.101449633,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
http://www.citi.com.vissvaasinfraa.com/,4,3,1,39,0,0,0,0,0,1,0,0,0,1,0,1,0,31,0,0,5.4,0,0,0,3.906570488,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://qvhgqh.top/,1,0,1,19,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,4.5,0,0,0,3.286629487,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://jcjg.getan.workers.dev/indexx.html,4,2,1,42,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,4.75,0,0,0,4.326724863,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.333333333,0,0,0,1,1
https://platafrma-desblqdgital.com/mua/USER/scis/j6UnVHZsitlYrxStPNFUN4TsSjgEJkN7dlDp6FXSjFxO/3D/no-back-button/,1,0,7,112,3,0,0,0,0,1,0,0,5,0,0,0,0,26,0,0,12.5,0,0,0,5.19153302,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://gstionactva-product.com/mua/USER/scis/j6UnVHZsitlYrxStPNFUN4TsSjgEJkN7dlDp6FXSjFxO/3D/no-back-button/,1,0,7,109,3,0,0,0,0,1,0,0,5,0,0,0,0,23,0,0,11,0,0,0,5.118397114,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://securefile.jennitai.workers.dev/,3,2,1,40,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,7,0,0,1,4.170950594,4,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.333333333,0,0,0,1,1
http://www.centexintl.com/fonts/M03032023/,2,1,3,42,0,0,0,0,0,1,0,0,8,1,0,0,0,18,0,0,5.333333333,0,0,0,4.148535733,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://steamcommrnuity.ru/profiles/75735148073955482,1,0,2,53,0,0,0,0,0,1,0,0,17,0,0,0,0,18,0,0,8.5,0,0,0,4.614344039,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://onedrive-speedup.sodalee.workers.dev/?sso_reload=true,3,2,1,61,1,0,0,1,0,1,0,1,0,0,0,0,0,36,15,0,8.25,0,0,0,4.117990987,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
https://helix-marbled-house.glitch.me/N0d.html,3,1,1,46,2,0,0,0,0,1,0,0,1,0,0,0,0,29,0,0,9,0,0,0,4.265424935,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1
https://vjh-108540.weeblysite.com/,2,1,1,34,1,0,0,0,0,1,0,0,6,0,0,0,0,25,0,0,7.666666667,0,6,0,4.432619826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
http://kalten.cf/scc/,1,0,2,21,0,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0,4,0,0,0,3.558518613,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
http://www.citi.com.vandengross.ro/,4,3,1,35,0,0,0,0,0,1,0,0,0,1,0,1,0,27,0,0,4.6,0,0,0,4.071581588,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://bupec.mx/link.html,2,0,1,26,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,3.5,0,0,0,3.950063756,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
http://mobolokodokuwe.work.gd/authen,2,1,1,36,0,0,0,0,0,1,0,0,0,1,0,0,0,22,0,0,6.666666667,0,0,0,4.009523959,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
http://1b917b8f-25d2.duckdns.org/app/verify.php,3,1,2,47,1,0,0,0,0,1,0,0,8,1,0,0,0,25,0,0,7.666666667,0,8,1,4.63715448,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://lucabet345.com/mygov/,1,0,2,29,0,0,0,0,0,1,0,0,3,0,0,0,0,14,0,0,6.5,0,3,0,4.211260736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
